0,-0.922863,inf
0,-0.922077,-0.919662
0,-0.921747,-0.919838
0,-0.920892,-0.918208
0,-0.920097,-0.919432
0,-0.918093,-0.916497
0,-0.916075,-0.12274
0,-0.915812,-0.91536
0,-0.915619,-0.913922
0,-0.915457,-0.914977
0,-0.915261,-0.914887
0,-0.914977,-0.914419
0,-0.914633,-0.914598
0,-0.914072,-0.9121
0,-0.911645,-0.910222
0,-0.910316,-0.910018
0,-0.909861,-0.909793
0,-0.143863,0.417146
0,-0.13471,-0.0700274
0,-0.1314,-0.0678979
0,-0.12803,0.407952
0,-0.125959,-0.124219
0,-0.122081,-0.063563
0,-0.116853,-0.0622924
0,-0.110255,-0.0621557
0,-0.0909051,-0.0537925
0,-0.0715546,-0.0375597
0,-0.0627331,-0.0306943
1,0.436019,0.437317
0,0.639937,0.644248
1,0.688916,0.690034
1,0.69162,0.692859
1,0.782999,0.783111
1,0.788461,0.792503
2,0.846144,inf
